識別碼,主檔ID,測量項目,測量位置,尺寸下限,尺寸上限,公差下限,公差上限,標準值,單位,備註
1834,177,厚度,,,,-0.1500,0.1500,2.5000,mm,
1835,177,長度,,,,-1.0000,1.0000,345.0000,mm,
1836,177,同心度,,,0.2500,,,,mm,
1837,178,外徑,,,,-0.1500,0.2500,48.0000,mm,
1838,178,厚度,,,,-0.1500,0.2500,1.8000,mm,
1839,178,長度,,,,-1.0000,1.0000,260.0000,mm,
1840,178,同心度,,,0.2500,,,,mm,
1841,179,外徑,,,,-0.1500,0.2500,49.0000,mm,
1842,179,厚度,,,,-0.1500,0.1500,2.3000,mm,
1843,179,長度,,,,-1.0000,1.0000,495.0000,mm,
1844,179,同心度,,,0.2500,,,,mm,
1845,180,外徑,,,,-0.1500,0.2500,49.0000,mm,
1846,180,厚度,,,,-0.1500,0.1500,2.5000,mm,
1847,180,長度,,,,-1.0000,1.0000,450.0000,mm,
1848,180,同心度,,,0.2500,,,,mm,
1849,181,外徑,,,,-0.1500,0.2500,49.0000,mm,
1850,181,厚度,,,,-0.1500,0.2500,2.7000,mm,
1851,181,長度,,,,-1.0000,1.0000,315.0000,mm,
1852,181,同心度,,,0.3500,,,,mm,
1853,182,外徑,,,,-0.1500,0.2500,51.0000,mm,
1854,182,厚度,,,,-0.1500,0.1500,2.5000,mm,
1855,182,長度,,,,-1.0000,1.0000,490.0000,mm,
1856,182,同心度,,,0.2500,,,,mm,
1857,183,外徑,,,,-0.1500,0.2500,52.0000,mm,
1858,183,厚度,,,,-0.1500,0.2500,3.5000,mm,
1859,183,長度,,,,-1.0000,1.0000,480.0000,mm,
1860,183,同心度,,,0.3500,,,,mm,
1861,184,外徑,,,,-0.1500,0.2000,55.0000,mm,
1862,184,厚度,,,,-0.1500,0.2000,2.2000,mm,
1863,184,長度,,,,-1.0000,1.0000,355.0000,mm,
1864,184,同心度,,,0.2500,,,,mm,
1865,185,外徑,,,,-0.1500,0.2500,56.0000,mm,
1866,185,厚度,,,,-0.1500,0.1500,1.7000,mm,
1867,185,長度,,,,-1.0000,1.0000,390.0000,mm,
1868,185,同心度,,,0.2500,,,,mm,
1869,186,外徑,,,,-0.1500,0.2500,58.0000,mm,
1870,186,厚度,,,,-0.1500,0.2500,4.0000,mm,
1871,186,長度,,,,-1.0000,1.0000,470.0000,mm,
1872,186,同心度,,,0.3500,,,,mm,
1873,187,外徑,,,,-0.1500,0.2500,59.0000,mm,
1874,187,厚度,,,,-0.1500,0.2500,3.0000,mm,
1875,187,長度,,,,-1.0000,1.0000,390.0000,mm,
1876,187,同心度,,,0.3500,,,,mm,
1877,188,外徑,,,,-0.1500,0.2500,59.0000,mm,
1878,188,厚度,,,,-0.1500,0.2500,3.0000,mm,
1879,188,長度,,,,-1.0000,1.0000,550.0000,mm,
1880,188,同心度,,,0.3500,,,,mm,
1881,189,外徑,,,,-0.1500,0.2500,62.0000,mm,
1882,189,厚度,,,,-0.1500,0.2500,2.8000,mm,
1883,189,長度,,,,-1.0000,1.0000,540.0000,mm,
1884,189,同心度,,,0.3500,,,,mm,
1885,190,外徑,,,,-0.1500,0.2500,62.0000,mm,
1886,190,厚度,,,,-0.1500,0.2500,3.0000,mm,
1887,190,長度,,,,-1.0000,1.0000,625.0000,mm,
1888,190,同心度,,,0.3500,,,,mm,
1889,191,外徑,,,,-0.1500,0.2500,62.0000,mm,
1890,191,厚度,,,,-0.1500,0.2500,3.5000,mm,
1891,191,長度,,,,-1.0000,1.0000,390.0000,mm,
1892,191,同心度,,,0.3500,,,,mm,
1893,192,外徑,,,,-0.1500,0.2500,63.0000,mm,
1894,192,厚度,,,,-0.1500,0.1500,2.0000,mm,
1895,192,長度,,,,-1.0000,1.0000,460.0000,mm,
1896,192,同心度,,,0.2500,,,,mm,
1897,193,外徑,,,,-0.1500,0.2500,63.0000,mm,
1898,193,厚度,,,,-0.1500,0.1500,2.1000,mm,
1899,193,長度,,,,-1.0000,1.0000,490.0000,mm,
1900,193,同心度,,,0.2500,,,,mm,
1901,194,外徑,,,,-0.1500,0.2500,63.0000,mm,
1902,194,厚度,,,,-0.1500,0.1500,2.2000,mm,
1903,194,長度,,,,-2.0000,2.0000,470.0000,mm,
1904,194,同心度,,,0.2500,,,,mm,
1905,195,外徑,,,,-0.1500,0.2500,64.0000,mm,
1906,195,厚度,,,,-0.1500,0.2000,4.0000,mm,
1907,195,長度,,,,-1.0000,1.0000,480.0000,mm,
1908,195,同心度,,,0.3500,,,,mm,
1909,196,外徑,,,,-0.1000,0.1000,64.5000,mm,
1910,196,厚度,,,,-0.1000,0.1000,2.0000,mm,
1911,196,長度,,,,-1.0000,1.0000,540.0000,mm,
1912,196,同心度,,,0.2500,,,,mm,
1913,197,外徑,,,,-0.1500,0.2500,64.5000,mm,
1914,197,厚度,,,,-0.1500,0.1500,2.0000,mm,
1915,197,長度,,,,-1.0000,1.0000,600.0000,mm,
1916,197,同心度,,,0.2500,,,,mm,
1917,198,外徑,,,,-0.1500,0.1500,64.5000,mm,
1918,198,厚度,,,,-0.1500,0.1500,2.3000,mm,
1919,198,長度,,,,-1.0000,1.0000,380.0000,mm,
1920,198,同心度,,,0.2500,,,,mm,
1921,199,外徑,,,,-0.1500,0.2000,65.0000,mm,
1922,199,厚度,,,,-0.1500,0.2000,2.5000,mm,
1923,199,長度,,,,-1.0000,1.0000,375.0000,mm,
1924,199,同心度,,,0.2500,,,,mm,
1925,200,外徑,,,,-0.1500,0.2500,67.0000,mm,
1926,200,厚度,,,,-0.1500,0.1500,2.2000,mm,
1927,200,長度,,,,-1.0000,1.0000,590.0000,mm,
1928,200,同心度,,,0.2500,,,,mm,
1929,201,外徑,,,,-0.1500,0.2000,67.0000,mm,
1930,201,厚度,,,,-0.1500,0.2000,4.5000,mm,
1931,201,長度,,,,-1.0000,1.0000,440.0000,mm,
1932,201,同心度,,,0.4500,,,,mm,
1933,202,外徑,,,,-0.1500,0.1500,68.0000,mm,
1934,202,厚度,,,,-0.1500,0.1500,2.2000,mm,
1935,202,長度,,,,-1.0000,1.0000,395.0000,mm,
1936,202,同心度,,,0.2500,,,,mm,
1937,203,外徑,,,,-0.1500,0.2500,68.0000,mm,
1938,203,厚度,,,,-0.1500,0.1500,2.5000,mm,
1939,203,長度,,,,-1.0000,1.0000,700.0000,mm,
1940,203,同心度,,,0.2500,,,,mm,
1941,204,外徑,,,,-0.1500,0.2500,68.0000,mm,
1942,204,厚度,,,,-0.1500,0.1500,2.5000,mm,
1943,204,長度,,,,-1.0000,1.0000,720.0000,mm,
1944,204,同心度,,,0.2500,,,,mm,
1945,205,外徑,,,,-0.1500,0.2500,68.0000,mm,
1946,205,厚度,,,,-0.1500,0.2500,2.7000,mm,
1947,205,長度,,,,-1.0000,1.0000,390.0000,mm,
1948,205,同心度,,,0.3500,,,,mm,
1949,206,外徑,,,,-0.1500,0.2500,68.0000,mm,
1950,206,厚度,,,,-0.1500,0.2500,2.7000,mm,
1951,206,長度,,,,-1.0000,1.0000,595.0000,mm,
1952,206,同心度,,,0.3500,,,,mm,
1953,207,外徑,,,,-0.1500,0.2500,71.0000,mm,
1954,207,厚度,,,,-0.1500,0.2500,3.0000,mm,
1955,207,長度,,,,-1.0000,1.0000,450.0000,mm,
1956,207,同心度,,,0.3500,,,,mm,
1957,208,外徑,,,,-0.2500,0.2500,73.0000,mm,
