識別碼,主檔ID,測量項目,測量位置,尺寸下限,尺寸上限,公差下限,公差上限,標準值,單位,備註
3082,391,含氫量,,,0.1500,,,,ml/100g,
3083,391,伸長率,,11.0000,,,,,%,
3084,391,EC值,,35.5000,39.5000,,,,,
3085,392,外徑,,,,-0.1000,0.1000,40.5000,mm,
3086,392,內徑,,,,-0.1000,0.1000,32.0000,mm,
3087,392,真圓度,,,0.1000,,,,mm,
3088,392,同心度,,,0.2000,,,,mm,
3089,392,Fe含量,,,0.2000,,,,%,
3090,392,含氫量,,,0.1500,,,,ml/100g,
3091,393,外徑,,,,-0.2000,0.2000,76.0000,mm,
3092,393,內徑,,,,-0.2000,0.2000,62.0000,mm,
3093,393,真圓度,,,0.1000,,,,mm,
3094,393,同心度,,,0.2000,,,,mm,
3095,393,硬度,,58.0000,,,,,HRB,
3096,393,抗拉強度,,260.0000,,,,,Mpa,
3097,393,降伏強度,,240.0000,,,,,Mpa,
3098,393,伸長率,,11.0000,,,,,%,
3099,394,外徑,,,,-0.2000,0.2000,85.0000,mm,
3100,394,內徑,,,,-0.2000,0.2000,74.0000,mm,
3101,394,真圓度,,,0.1000,,,,mm,
3102,394,同心度,,,0.2000,,,,mm,
3103,394,硬度,,58.0000,,,,,HRB,
3104,394,抗拉強度,,260.0000,,,,,Mpa,
3105,394,降伏強度,,240.0000,,,,,Mpa,
3106,394,伸長率,,11.0000,,,,,%,
3107,395,外徑,,,,-0.2000,0.2000,43.5000,mm,
3108,395,內徑,,,,-0.1000,0.1500,34.7000,mm,
3109,395,真圓度,,,0.1000,,,,mm,
3110,395,同心度,,,0.2000,,,,mm,
3111,395,硬度,,58.0000,,,,,HRB,
3112,395,抗拉強度,,350.0000,,,,,Mpa,
3113,395,降伏強度,,310.0000,,,,,Mpa,
3114,395,伸長率,,11.0000,,,,,%,
3115,396,外徑,,,,-0.2000,0.2000,49.5000,mm,
3116,396,內徑,,,,-0.1000,0.1500,39.7000,mm,
3117,396,真圓度,,,0.1000,,,,mm,
3118,396,同心度,,,0.2000,,,,mm,
3119,396,硬度,,58.0000,,,,,HRB,
3120,396,抗拉強度,,350.0000,,,,,Mpa,
3121,396,降伏強度,,310.0000,,,,,Mpa,
3122,396,伸長率,,11.0000,,,,,%,
3123,397,外徑,,,,-0.2000,0.2000,48.0000,mm,
3124,397,內徑,,,,-0.1000,0.1500,39.7000,mm,
3125,397,真圓度,,,0.1000,,,,mm,
3126,397,同心度,,,0.2000,,,,mm,
3127,397,硬度,,58.0000,,,,,HRB,
3128,397,抗拉強度,,350.0000,,,,,Mpa,
3129,397,降伏強度,,310.0000,,,,,Mpa,
3130,397,伸長率,,11.0000,,,,,%,
3131,398,外徑,,,,-0.1000,0.1000,45.0000,mm,
3132,398,內徑,,,,-0.1000,0.1000,38.0000,mm,
3133,398,真圓度,,,0.1000,,,,mm,
3134,398,同心度,,,0.2000,,,,mm,
3135,398,硬度,,58.0000,,,,,HRB,
3136,398,抗拉強度,,350.0000,,,,,Mpa,
3137,398,降伏強度,,310.0000,,,,,Mpa,
3138,398,伸長率,,11.0000,,,,,%,
3139,399,外徑,,,,-0.2000,0.2000,43.5000,mm,
3140,399,內徑,,,,-0.1000,0.1500,34.7000,mm,
3141,399,真圓度,,,0.1000,,,,mm,
3142,399,同心度,,,0.2000,,,,mm,
3143,399,硬度,,58.0000,,,,,HRB,
3144,399,抗拉強度,,350.0000,,,,,Mpa,
3145,399,降伏強度,,310.0000,,,,,Mpa,
3146,399,伸長率,,11.0000,,,,,%,
3147,400,外徑,,,,-0.2000,0.2000,78.0000,mm,
3148,400,內徑,,,,-0.1000,0.1000,66.0000,mm,
3149,400,真圓度,,,0.1000,,,,mm,
3150,400,同心度,,,0.2000,,,,mm,
3151,400,硬度,,16.0000,,,,,HW,
3152,400,抗拉強度,,350.0000,,,,,Mpa,
3153,400,降伏強度,,310.0000,,,,,Mpa,
3154,400,伸長率,,11.0000,,,,,%,
3155,401,外徑,,,,-0.2000,0.2000,90.0000,mm,
3156,401,內徑,,,,-0.1000,0.1000,73.0000,mm,
3157,401,真圓度,,,0.1000,,,,mm,
3158,401,同心度,,,0.2000,,,,mm,
3159,401,硬度,,58.0000,,,,,HRB,
3160,401,抗拉強度,,350.0000,,,,,Mpa,
3161,401,降伏強度,,310.0000,,,,,Mpa,
3162,401,伸長率,,11.0000,,,,,%,
3163,402,外徑,,,,-0.1000,0.1000,75.0000,mm,
3164,402,內徑,,,,-0.1000,0.1000,60.5000,mm,
3165,402,真圓度,,,0.1000,,,,mm,
3166,402,同心度,,,0.2000,,,,mm,
3167,402,硬度,,58.0000,,,,,HRB,
3168,402,抗拉強度,,350.0000,,,,,Mpa,
3169,402,降伏強度,,310.0000,,,,,Mpa,
3170,402,伸長率,,11.0000,,,,,%,
3171,403,外徑,,,,-0.1000,0.1000,64.5000,mm,
3172,403,內徑,,,,-0.1000,0.1000,57.0000,mm,
3173,403,真圓度,,,0.1000,,,,mm,
3174,403,同心度,,,0.2000,,,,mm,
3175,403,硬度,,58.0000,,,,,HRB,
3176,403,抗拉強度,,350.0000,,,,,Mpa,
3177,403,降伏強度,,310.0000,,,,,Mpa,
3178,403,伸長率,,11.0000,,,,,%,
3179,404,外徑,,,,-0.2000,0.2000,54.0000,mm,
3180,404,內徑,,,,-0.1000,0.1000,45.6000,mm,
3181,404,真圓度,,,0.1000,,,,mm,
3182,404,同心度,,,0.2000,,,,mm,
3183,404,硬度,,58.0000,65.0000,,,,HRB,
3184,404,抗拉強度,,350.0000,,,,,Mpa,
3185,404,降伏強度,,310.0000,,,,,Mpa,
3186,404,伸長率,,11.0000,,,,,%,
3187,405,外徑,,,,-0.1500,0.1500,27.0000,mm,
3188,405,硬度,,55.0000,,,,,HRB,
3189,406,外徑,,,,-0.1000,0.2000,65.5000,mm,
3190,406,內徑,,,,-0.1000,0.1000,56.8500,mm,
3191,406,真圓度,,,0.1000,,,,mm,
3192,406,同心度,,,0.2000,,,,mm,
3193,406,硬度,,58.0000,,,,,HRB,
3194,406,硬度,,15.0000,,,,,HW,
3195,406,抗拉強度,,350.0000,,,,,Mpa,
3196,406,降伏強度,,310.0000,,,,,Mpa,
3197,406,伸長率,,11.0000,,,,,%,
3198,407,外徑,,,,-0.1000,0.1000,55.0000,mm,
3199,407,內徑,,,,-0.1000,0.1000,44.1000,mm,
3200,407,真圓度,,,0.1000,,,,mm,
3201,407,同心度,,,0.2000,,,,mm,
3202,407,硬度,,58.0000,,,,,HRB,
3203,407,抗拉強度,,350.0000,,,,,Mpa,
3204,407,降伏強度,,310.0000,,,,,Mpa,
3205,407,伸長率,,11.0000,,,,,%,
3206,408,外徑,,,,-0.2000,0.2000,82.0000,mm,
3207,408,內徑,,,,-0.2000,0.2000,70.1500,mm,
3208,408,真圓度,,,0.1000,,,,mm,
3209,408,同心度,,,0.2000,,,,mm,
3210,408,真直度,,,0.3000,,,,mm,
3211,408,硬度,,58.0000,,,,,HRB,
3212,408,抗拉強度,,350.0000,,,,,Mpa,
3213,408,降伏強度,,310.0000,,,,,Mpa,
3214,408,伸長率,,11.0000,,,,,%,
3215,332,外徑,,,,-0.1500,0.1500,42.0000,mm,
3216,332,硬度,,55.0000,,,,,HRB,
3217,338,外徑,,,,-0.1500,0.1500,44.0000,mm,
3218,338,硬度,,55.0000,,,,,HRB,
3219,341,外徑,,,,-0.1000,0.1000,47.0000,mm,
3220,341,真圓度,,,0.1000,,,,mm,
3221,341,硬度,,58.0000,,,,,HRB,
3222,341,抗拉強度,,350.0000,,,,,Mpa,
3223,341,降伏強度,,310.0000,,,,,Mpa,
3224,341,伸長率,,11.0000,,,,,%,
3225,324,外徑,,,,-0.2000,0.2000,34.0000,mm,
3226,324,內徑,,,,-0.1000,0.1000,26.0000,mm,
3227,324,真圓度,,,0.1000,,,,mm,
3228,324,同心度,,,0.2000,,,,mm,
3229,324,硬度,,56.0000,64.0000,,,,HRB,
3230,324,抗拉強度,,350.0000,,,,,Mpa,
3231,324,降伏強度,,310.0000,,,,,Mpa,
3232,324,伸長率,,11.0000,,,,,%,
3233,371,外徑,,,,-0.2000,0.2000,66.7000,mm,
3234,371,內徑,,,,-0.2000,0.2000,59.0000,mm,
3235,371,真圓度,,,0.1000,,,,mm,
3236,371,同心度,,,0.2000,,,,mm,
3237,371,硬度,,58.0000,,,,,mm,
3238,371,抗拉強度,,350.0000,,,,,Mpa,
3239,371,降伏強度,,310.0000,,,,,Mpa,
3240,371,伸長率,,11.0000,,,,,%,
3246,4,外徑,,,,-0.0500,0.0500,,mm,
3247,4,厚度,,,,-0.0500,0.1000,,mm,
3248,4,長度,,,,,2.0000,,mm,
3249,4,真直度,,,1.0000,,,,mm/米,
3250,4,硬度,,9.0000,12.0000,,,,HW,
3251,409,內徑,,,,-0.0200,0.0600,15.4000,mm,
3252,409,厚度,,,,-0.0500,0.1500,3.7000,mm,
3253,409,硬度,,85.0000,92.0000,,,,HRB,
3263,413,外徑,,,,-0.0300,0.0300,28.0000,mm,
3264,413,厚度,,,,-0.0500,0.0500,3.4000,mm,
3265,413,硬度,,70.0000,78.0000,,,,HRB,
3272,412,外徑,,,,-0.0300,0.0300,28.0000,mm,
3273,412,厚度,,,,-0.0500,0.0500,3.4000,mm,
3274,412,硬度,,75.0000,83.0000,,,,HRB,
3275,414,內徑,,,,-0.0500,0.0500,26.1000,mm,
3276,414,厚度,,,,-0.0500,0.1500,3.3500,mm,
3277,414,硬度,,85.0000,92.0000,,,,HRB,
3278,415,內徑,,,,-0.0200,0.0800,25.2000,mm,
3279,415,厚度,,,,-0.0500,0.2000,3.9000,mm,
3280,415,硬度,,85.0000,92.0000,,,,HRB,
3281,416,內徑,,,,-0.0500,0.0500,26.3000,mm,
3282,416,厚度,,,,-0.0500,0.2000,3.8500,mm,
3283,416,硬度,,85.0000,92.0000,,,,HRB,
3284,417,內徑,,,,-0.0500,0.0500,26.3000,mm,
3285,417,厚度,,,,-0.0500,0.2000,4.8500,mm,
3286,417,硬度,,85.0000,92.0000,,,,HRB,
3287,418,內徑,,,,-0.0200,0.0600,16.5000,mm,
3288,418,厚度,,,,-0.0500,0.1500,3.1500,mm,
3289,418,硬度,,85.0000,92.0000,,,,HRB,
3292,419,內徑,,,,-0.1000,0.1000,54.0000,mm,
3293,419,厚度,,,,0.0000,0.1500,4.0000,mm,
3294,410,內徑,,,,0.0000,0.1000,18.5000,mm,
3295,410,厚度,,,,-0.1000,0.1000,3.5000,mm,
3296,410,硬度,,52.0000,65.0000,,,,HRB,
3297,420,外徑,,,,0.0000,0.5000,33.0000,mm,
3298,420,內徑,,,,-0.1000,0.1000,24.6000,mm,
3299,420,硬度,,52.0000,65.0000,,,,HRB,
3300,421,外徑,,,,-0.1000,0.1000,33.0000,mm,
3301,421,內徑,,,,-0.1000,0.1000,28.6000,mm,
3302,421,長度,,,,0.0000,2.0000,340.0000,mm,
3303,421,硬度,,6.0000,9.0000,,,,HW,
3304,422,外徑,,,,-0.1000,0.1000,33.0000,mm,
3305,422,內徑,,,,-0.1000,0.1000,28.6000,mm,
3306,422,厚度,,,,-0.1000,0.1000,2.2000,mm,
3307,422,長度,,,,0.0000,1.0000,340.0000,mm,
3308,422,硬度,,10.0000,13.0000,,,,HW,
3309,423,外徑,,,,0.0000,0.1500,25.0000,mm,
3310,423,內徑,,,,0.0000,0.1500,20.0000,mm,
3311,423,長度,,,,,,175.0000,mm,
3312,424,內徑,,,,-0.0300,0.0500,22.2000,mm,
3313,424,厚度,,,,-0.0500,0.1500,3.4000,mm,
3314,424,硬度,,85.0000,92.0000,,,,HRB,
3315,425,內徑,,,,-0.0300,0.0500,22.2000,mm,
3316,425,厚度,,,,-0.0500,0.1500,4.8000,mm,
3317,425,硬度,,85.0000,92.0000,,,,HRB,
3318,426,內徑,,,,-0.0500,0.0500,26.1000,mm,
3319,426,厚度,,,,0.0000,0.2000,4.8500,mm,
3320,426,硬度,,85.0000,92.0000,,,,mm,
3321,427,內徑,,,,-0.0500,0.0500,28.2000,mm,
3322,427,厚度,,,,-0.0500,0.1500,4.1500,mm,
3323,427,硬度,,85.0000,92.0000,,,,mm,
3327,428,內徑,,,,-0.0500,0.0500,26.1000,mm,
3328,428,厚度,,,,-0.0500,0.1500,5.9500,mm,
3329,428,硬度,,85.0000,92.0000,,,,mm,
3330,429,外徑,,,,-1.0000,1.0000,98.0000,mm,
3331,429,內徑,,,,-1.0000,1.0000,86.0000,mm,
3332,429,長度,,,,-1.0000,1.0000,85.0000,mm,
3333,411,內徑,,,,0.0000,0.0800,18.5000,mm,
3334,411,厚度,,,,-0.0500,0.1500,4.2500,mm,
3335,411,硬度,,85.0000,92.0000,,,,HRB,
3336,19,外徑,,,,0.0000,0.1500,31.9000,mm,
3337,19,厚度,,,,-0.1500,0.1500,2.5000,mm,
3338,19,硬度,,8.0000,10.0000,,,,HW,
3339,430,外徑,,,,-0.2000,0.2000,130.0000,mm,
3340,430,厚度,,,,-0.1000,0.1000,3.0000,mm,
